"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Botswana","BWA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11676288629.7547","12547189033.7628","12913199359.4205","13160630094.5685","13638086702.2259","14596900149.1085","15447870245.4486","16734043068.2154","16808285906.0932","18433183369.1568","18799578990.8172","18846685822.8221","19990591236.3673","20915334955.2436","21481266634.7527","22460091838.0043","24338624961.3044","26353075459.93","27998940280.98","25856374517.257","28070618967.1656","29768431464.8686","31094955777.5734","34622180049.4892","36058745098.2114","35446490890.7439","36972025427.1675","38045692207.0873","39749696576.6743","40928722521.7626","",
"Central African Republic","CAF","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3372788348.74427","3354152242.6464","3138678879.64974","3149202106.75233","3303511416.80188","3541365743.80946","3399707821.8743","3579890161.24144","3748150095.8242","3883082558.65022","3786415841.75199","3955469427.54081","4098520648.25994","3877303602.09053","4109743464.20343","4147068586.47959","4344928771.59951","4545122879.15504","4638485655.47693","5036804498.5544","5270049769.669","5491108085.5972","5768615578.41872","3669302318.2265","3672277040.52477","3831548140.33666","4013558816.92666","4195263790.82987","4354240945.75063","4483573904.19722","",
"Canada","CAN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","962084819179.122","942014907580.084","950495486843.828","975786808603.832","1019643216722.3","1047112163177.69","1064066715265.69","1023150217276.88","1051763047736.57","1093523116928.22","1147299989364.76","1163425607240.76","1203239732115.16","1249096283060.67","1297986271096.96","1362831859303.6","1419604949127.66","1517112060398.29","1532398825834.39","1487524056061.91","1533481031742.59","1581737860674.74","1609611601928.87","1647101428011.97","1694373833195.27","1705542753485.89","1722621963346.05","1777241652943.04","1813028887320.33","1843053386225.74","",
"Central Europe and the Baltics","CEB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1553169987407.16","1400667135918.42","1366642015123.26","1388076032014.09","1443914566005.79","1525077138639.04","1594066856111.96","1623072362613.78","1665088957497.2","1694405111355.23","1761216170742.18","1815936427292.53","1882586714551.01","1958179719176.2","2075192961656.97","2178299950494.25","2322188181599.4","2470749742814.5","2573980055319.8","2486788266887.32","2522338822202.08","2602110373842.76","2622198924529.75","2658577603165.6","2739205898965.38","2846755809887.51","2937334931646.65","3084033182887.18","3223479354966.76","3348808398582.37","",
"Switzerland","CHE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","373445929408.403","370025849903.168","369864026427.803","369398058507.41","374088518754.373","375887385154.652","377917280657.997","386761111274.302","398324850032.826","405075340232.462","421022441568.308","426548039563.346","427241662071.216","427410749675.073","439276626930.541","452961172937.255","471028136757.435","490396238073.232","500962815432.288","489830884847.754","504539032241.051","513079911930.499","518241619217.179","527839660349.079","540767604616.073","547978033166.055","557418273606.996","567448507351.371","583056483690.307","588472101289.123","",
"Channel Islands","CHI","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126434365996.596","136301799777.372","151522223394.541","161505695143.181","169629751353.697","184783278924.739","197353931272.931","212013163819.424","221181841632.595","220270359741.054","232004026160.042","239667228911.033","247113619088.808","257223155081.13","275767760588.605","291604635623.764","310025814680.909","325233586935.818","336712805756.198","331445811238.959","350816092087.233","372254178714.232","392052993696.039","407911554142.065","415118289851.152","424681648173.664","431948330366.528","437082349790.961","454344134341.919","459134932221.211","",
"China","CHN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1616385775698.95","1766108132404.2","2017328706332.62","2297409163052.26","2596917953201.1","2881383160094.42","3167290039422.85","3459845648895.8","3731303470424.53","4017182938752.65","4358245522543.24","4721537253628.6","5152785033982.12","5670023166305.25","6243467841384.38","6954885516690.4","7839613419832.07","8955257903315.75","9819501089963.92","10742409055898.1","11884957832309.2","13020070209401.8","14043934216098.3","15134607226933","16258467389918.2","17403279549490.3","18595188781695.5","19887033884254.4","21229363693442.5","22526502926833.8","",
"Cote d'Ivoire","CIV","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53660442221.4542","53682402847.8175","53551116834.8592","53448038914.1277","53881612978.721","57721079172.816","62182530373.4696","64510366444.5017","67691165940.5633","68786089126.195","67363317619.3455","67445077768.288","66320335231.3472","65418686436.3938","66224496048.1669","67364383443.0332","68385521305.013","69592550911.0257","71362179160.0672","73682487387.9307","75169133689.1067","71871272271.8403","79566172986.8521","86639145317.1768","94258258806.6442","102593384623.837","109958776919.581","118051344947.092","126185418257.144","134048926970.757","",
"Cameroon","CMR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37966569606.4764","36520575074.7028","35388436074.7878","32581401765.638","33273409705.7625","34427927863.2136","35929359583.6434","37808939612.041","39511208188.5159","41207035939.24","42671276190.5357","44535193481.7473","46422240337.5974","48542434696.1986","51834075797.2743","52881467429.1677","54709933425.5081","57391924729.7103","59394214727.1335","60700094004.9647","62777559360.4725","65369818781.1076","68339742888.5948","72033004179.6321","76271468880.3519","80581923290.8577","84327759128.3754","87320624933.3413","90868013830.4638","94248950400.2914","",
